"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SAN ENRIQUE","4","47","51"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","TOBOSO","233","1315","1548"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","VALLADOLID","19","409","428"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","BACOLOD CITY","93","575","668"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","BAGO CITY","13","18","31"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","CADIZ CITY","5636","18924","24560"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","ESCALANTE CITY","150","2073","2223"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","LA CARLOTA","4","65","69"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SAGAY CITY","2883","9058","11941"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SAN CARLOS CITY","73","214","287"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SILAY CITY","130","1315","1445"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SIPALAY CITY","5","8","13"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","TALISAY CITY","51","399","450"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","VICTORIAS CITY","638","4370","5008"
"SITREP NO. 40","TYPHOON","VII","BOHOL","BUENAVISTA","1","1","2"
"SITREP NO. 40","TYPHOON","VII","BOHOL","INABANGA","30","0","30"
"SITREP NO. 40","TYPHOON","VII","BOHOL","PRES. CP GARCIA","0","28","28"
"SITREP NO. 40","TYPHOON","VII","BOHOL","UBAY","3","0","3"
"SITREP NO. 40","TYPHOON","VII","BOHOL","CARMEN","37","195","232"
"SITREP NO. 40","TYPHOON","VII","CEBU","ASTURIAS","23","84","107"
"SITREP NO. 40","TYPHOON","VII","CEBU","BANTAYAN","7626","2635","10261"
"SITREP NO. 40","TYPHOON","VII","CEBU","CARMEN","37","195","232"
"SITREP NO. 40","TYPHOON","VII","CEBU","CATMON","106","999","1105"
"SITREP NO. 40","TYPHOON","VII","CEBU","COMPOSTELLA","25","376","401"
"SITREP NO. 40","TYPHOON","VII","CEBU","DAANBANTAYAN","15660","622","16282"
"SITREP NO. 40","TYPHOON","VII","CEBU","GINATILAN","5","0","5"
"SITREP NO. 40","TYPHOON","VII","CEBU","MADRIDEJOS","503","2193","2696"
"SITREP NO. 40","TYPHOON","VII","CEBU","MEDELLIN","10445","0","10445"
"SITREP NO. 40","TYPHOON","VII","CEBU","PILAR","1032","2222","3254"
"SITREP NO. 40","TYPHOON","VII","CEBU","PORO","653","3385","4038"
"SITREP NO. 40","TYPHOON","VII","CEBU","SAN FRANCISCO","971","5467","6438"
"SITREP NO. 40","TYPHOON","VII","CEBU","SAN REMEGIO","2980","1255","4235"
"SITREP NO. 40","TYPHOON","VII","CEBU","SIBONGA","2","5","7"
"SITREP NO. 40","TYPHOON","VII","CEBU","SOGOD","449","2505","2954"
"SITREP NO. 40","TYPHOON","VII","CEBU","TABOGON","1499","579","2078"
"SITREP NO. 40","TYPHOON","VII","CEBU","TUBUELAN","2215","2631","4846"
"SITREP NO. 40","TYPHOON","VII","CEBU","TUBURAN","608","4470","5078"
"SITREP NO. 40","TYPHOON","VII","CEBU","TUDELA","248","1369","1617"
"SITREP NO. 40","TYPHOON","VII","CEBU","BOGO CITY","3525","2512","6037"
"SITREP NO. 40","TYPHOON","VII","CEBU","CEBU CITY","15824","2473","18297"
"SITREP NO. 40","TYPHOON","VII","CEBU","TALISAY CITY","48","1023","1071"
"SITREP NO. 40","TYPHOON","VII","NEGROS ORIENTAL","AYUNGON","0","3","3"
"SITREP NO. 40","TYPHOON","VII","NEGROS ORIENTAL","JIMALALUD","9","0","9"
"SITREP NO. 40","TYPHOON","VII","NEGROS ORIENTAL","VILLAHERMOSO","28","27","55"
"SITREP NO. 40","TYPHOON","VII","NEGROS ORIENTAL","GUIHULNGAN CITY","16","32","48"
"SITREP NO. 40","TYPHOON","VII","NEGROS ORIENTAL","BAIS CITY","0","2","2"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","ABUYOG","4270","7889","12159"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","ALANGALANG","5925","3950","9875"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","ALBUERA","3800","4828","8628"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","BABATNGON","3145","2296","5441"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","BARUGO","3825","2578","6403"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","BATO","4229","3348","7577"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","BURAUEN","10394","0","10394"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","CALUBIAN","2283","2447","4730"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","CAPOOCAN","6336","12","6348"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","CARIGARA","3966","5824","9790"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","DAGAMI","6700","0","6700"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","DULAG","8104","780","8884"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","HILONGOS","5688","6398","12086"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","HINDANG","1819","2474","4293"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","INOPACAN","1518","2717","4235"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","ISABEL","2371","6904","9275"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","JARO","7020","372","7392"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","JAVIER (BUGHO)","2661","2419","5080"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","JULITA","1731","1100","2831"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","KANANGA","10219","0","10219"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","LA PAZ","2343","1728","4071"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","LEYTE","2389","5591","7980"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MACARTHUR","3741","243","3984"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MAHAPLAG","250","2006","2256"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MATAG-OB","1915","1721","3636"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MATALOM","3335","3281","6616"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MAYORGA","3063","63","3126"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","MERIDA","2371","3421","5792"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","PALO","12561","0","12561"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","PALOMPON","3356","8168","11524"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","PASTRANA","2400","1142","3542"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","SAN ISIDRO","2960","2003","4963"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","SAN MIGUEL","2460","1276","3736"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","SANTA FE","2398","1310","3708"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TABANGO","4325","2469","6794"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TABON-TABON","1291","802","2093"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TANAUAN","4490","6174","10664"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TOLOSA","1436","2377","3813"
